Player,Position,Height,Weight,NationalRank,PositionRank,StateRank,HighSchool,City,State,CommittedTo
Carter Smith,QB,6-2.5,185,287,24,45,Bishop Verot,Fort Myers,FL,Wisconsin
Luke Metz,LB,6-3,220,288,30,41,Mill Creek,Hoschton,GA,Alabama
Jayden Loftin,EDGE,6-4,250,289,30,6,Somerville,Somerville,NJ,Tennessee
Bryce Jenkins,DL,6-5,315,290,30,2,Friendship Collegiate Academy,Washington,DC,Maryland
Karson Cox,RB,6-0,190,291,20,25,Oak Hills,Hesperia,CA,UCLA
Deyjhon Pettaway,S,5-10,175,292,25,40,Katy Paetow,Katy,TX,Texas A&M
Chaz Coleman,EDGE,6-5,225,293,31,9,Harding,Warren,OH,Penn State
Carson Cooney,LB,6-3,215,294,31,8,Oswego,Oswego,IL,Iowa
Dennis Uzochukwu,OT,6-6,285,295,28,42,Peachtree Ridge,Suwanee,GA,Georgia
Jabree Coleman,RB,6-0,205,296,21,7,Imhotep Institute,Philadelphia,PA,Penn State
Jarcoby Hopson,LB,6-1,205,297,32,11,Lake Cormorant,Lake Cormorant,MS,Ole Miss
Matthew Johnson,DL,6-5,265,298,31,26,De La Salle,Concord,CA,Oregon
Jeremiah McCloud,DL,6-3,280,299,32,43,Lee County,Leesburg,GA,Florida
Quentin Gibson,WR,5-9,156,300,37,41,North Crowley,Fort Worth,TX,Colorado
Andrew Purcell,CB,5-10,185,301,29,17,Enterprise,Enterprise,AL,Kentucky
Shaun Terry II,WR,5-10,170,302,38,10,Ironton,Ironton,OH,Missouri
Nolan James Jr.,RB,5-10,200,303,22,7,DePaul Catholic,Wayne,NJ,Notre Dame
Jacob Bradford,S,5-11.5,190,304,26,11,Baton Rouge Catholic,Baton Rouge,LA,LSU
Alex Manske,QB,6-3,205,305,25,2,Algona,Algona,IA,Iowa State
Landon Roldan,WR,6-0,180,306,39,44,North Oconee,Bogart,GA,Georgia
Kamauryn Morgan,EDGE,6-4,230,307,32,42,South Oak Cliff,Dallas,TX,Baylor
Adrian Wilson,WR,6-0,170,308,40,43,Pflugerville Weiss,Pflugerville,TX,Colorado
Tariq Hayer,S,6-1,190,309,27,3,St. John's College,Washington,DC,Rutgers
Micah Strickland,CB,6-0,175,310,30,44,Brownsboro,Brownsboro,TX,TCU
Matt Outten,ATH,6-0,200,311,12,5,I.C. Norcom,Portsmouth,VA,Penn State
Taevion Swint,RB,5-9,185,312,23,46,Osceola,Kissimmee,FL,UCF
Abduall Sanders Jr.,LB,6-1.5,225,313,33,27,Mater Dei,Santa Ana,CA,Alabama
Messiah Delhomme,S,6-1,196,314,28,6,Warwick,Newport News,VA,Maryland
Duke Clark,RB,6-1,194,315,24,47,Plant,Tampa,FL,Florida
Yvan Kemajou,DL,6-3,230,316,33,7,Paint Branch,Burtonsville,MD,Penn State
LaVar Arrington II,LB,6-3.5,215,317,34,28,Charter Oak,Covina,CA,Penn State
Kendarius Reddick,S,5-11,170,318,29,45,Thomas County Central,Thomasville,GA,USC
Manny Choice,WR,6-4,195,319,41,45,Lancaster,Lancaster,TX,Oklahoma
Isaiah Mozee,WR,6-1,185,320,42,3,Lee's Summit North,Lee's Summit,MO,Nebraska
Dontrell Glover,IOL,6-2,315,321,17,46,Langston Hughes,Fairburn,GA,Georgia
Matt Henderson,TE,6-5,210,322,16,7,Powhatan,Powhatan,VA,Penn State
Cam Herron,IOL,6-3,275,323,18,6,Warren Central,Indianapolis,IN,Notre Dame
Zymear Smith,ATH,5-11.5,170,324,13,8,North Caroline,Ridgely,MD,Maryland
Bo Walker,RB,5-8.5,205,325,25,47,Rabun Gap-Nacoochee,Ellenwood,GA,Georgia
Brody Lennon,TE,6-4,220,326,17,11,Gilmour Academy,Gates Mills,OH,Ohio State
Kevin Oatis,DL,6-2,295,327,34,12,Hattiesburg,Hattiesburg,MS,Arkansas
Alex Tatsch,LB,6-2,213,328,35,8,Greater Latrobe,Latrobe,PA,Penn State
Travis Moten,DL,6-5,250,329,35,4,Fern Creek Traditional,Louisville,KY,Michigan
Carson Lawrence,S,6-2,194,330,30,8,McCallie School,Chattanooga,TN,Vanderbilt
Hollis Davidson III,TE,6-5,238,331,18,48,McIntosh,Peachtree City,GA,Auburn
Corey Simms,WR,6-3,205,332,43,4,Christian Brothers College,St. Louis,MO,USC
Shamarius Peterkin,WR,6-2,172,333,44,9,Mount Tabor,Winston Salem,NC,Virginia Tech
AJ Ia,TE,6-5,240,334,19,29,Orange Lutheran,Orange,CA,Arizona State
CJ Bass III,CB,6-1,190,335,31,9,East St. Louis,East St. Louis,IL,Missouri
Emmanuel Karmo,LB,6-3.5,222,336,36,1,Robbinsdale Cooper,Minneapolis,MN,Minnesota
Brian Rowe Jr.,WR,5-10,175,337,45,10,Jay M. Robinson,Concord,NC,South Carolina
Zach Weeks,LB,6-2,215,338,37,49,Oconee County,Watkinsville,GA,LSU
Dawayne Galloway Jr.,CB,6-1,175,339,32,12,Marion-Franklin,Columbus,OH,West Virginia
AJ Kruah,LB,6-2,210,340,38,50,Marietta,Marietta,GA,Georgia
Champ Taulealea,IOL,6-4,325,341,19,30,Valley Christian,San Jose,CA,Washington
Zae Thomas,CB,6-2,190,342,33,48,American Heritage,Fort Lauderdale,FL,Florida State
Jeff Exinor Jr.,TE,6-2,220,343,20,9,McDonogh School,Owings Mills,MD,Penn State
Kendall Daniels Jr.,S,6-3,190,344,31,8,Maury,Norfolk,VA,South Carolina
Trynae Washington,ATH,6-3,195,345,14,6,Carl Albert,Oklahoma City,OK,Oklahoma
Jonte Newman,IOL,6-4,275,346,20,46,Bridgeland,Cypress,TX,Texas A&M
Daylon Singleton,WR,5-10,165,347,46,47,DeSoto,DeSoto,TX,SMU
Dayshaun Burnett,EDGE,6-2.5,215,348,33,9,Imani Christian Academy,Pittsburgh,PA,Penn State
Cedric Works,EDGE,6-4,220,348,33,5,Frederick Douglass,Lexington,KY,Kentucky
Jamarion Morrow,ATH,5-9,180,350,15,9,Melrose,Memphis,TN,Texas A&M
Dante McClellan,LB,6-0.5,210,351,39,13,McKinley,Canton,OH,Missouri
Tae'Shaun Gelsey,TE,6-4,215,352,21,49,Riverside,Jacksonville,FL,Florida State
Luka Gilbert,TE,6-7,233,353,22,14,Lakota West,West Chester,OH,Miami
Marcus Harris,WR,6-0.5,185,354,47,31,Mater Dei,Santa Ana,CA,Washington
Jhase Thomas,S,6-1,183,355,32,12,Destrehan,Destrehan,LA,LSU
Romero Ison,WR,5-11,170,356,48,10,Milford Mill Academy,Gwynn Oak,MD,USC
Maxwell Roy,DL,6-3,285,357,36,10,St. Joseph's Prep,Philadelphia,PA,Ohio State
Max Buchanan,IOL,6-4,275,358,21,50,Seminole,Sanford,FL,Miami
Malachi Toney,WR,5-10.5,182,359,49,51,American Heritage,Fort Lauderdale,FL,Miami
Onis Konanbanny,CB,6-1,180,360,34,8,Heathwood Hall Episcopal School,Columbia,SC,Florida
Zion Williams,DL,6-4,295,361,37,48,Lufkin,Lufkin,TX,LSU
Benny Patterson,DL,6-4,245,362,38,7,Castle,Newburgh,IN,Michigan
Rasean Dinkins,S,5-10.5,175,363,33,51,Warner Robins,Warner Robins,GA,Georgia
Noah King,CB,6-3,195,364,35,15,Hamilton,Hamilton,OH,Kansas State
Mal Waldrep Jr.,OT,6-5,320,365,29,18,Central Phenix City,Phenix City,AL,Alabama
Hardy Watts,IOL,6-6,290,366,22,1,Dexter Southfield,Brookline,MA,Wisconsin
Tristian Gentry,WR,5-11,165,366,50,49,Stephenville,Stephenville,TX,Texas Tech
Cam Smith,LB,6-0,200,368,40,11,St. Joseph's Prep,Philadelphia,PA,Penn State
Devin Williams,CB,5-10,165,369,36,52,Buford,Buford,GA,Auburn
De'Zie Jones,WR,6-0,180,370,51,8,DePaul Catholic,Wayne,NJ,Ohio State
Scrap Richardson,ATH,6-0,175,371,16,53,Greenville,Greenville,GA,Notre Dame
Kyle Johnson,CB,5-11,165,372,37,13,Bunkie,Bunkie,LA,Mississippi State
Jeremiah Jones,ATH,6-4,200,373,17,6,Murray,Murray,KY,Nebraska
Quanell Farrakhan Jr.,WR,5-11.5,185,374,52,50,North Shore,Houston,TX,Colorado
Jack Van Dorselaer,ATH,6-5,230,374,18,50,Southlake Carroll,Southlake,TX,Tennessee
Dominick Kelly,CB,6-1,175,374,38,52,IMG Academy,Bradenton,FL,Georgia
Derrick Simmons,DL,6-3,270,377,39,4,Frankenmuth,Frankenmuth,MI,Michigan State
Jake Cook,IOL,6-5,295,378,23,16,Westerville North,Westerville,OH,Ohio State
Michael Thomas III,WR,5-11,200,379,53,9,Donovan Catholic,Toms River,NJ,Rutgers
Deshawn Stewart,S,6-2,185,380,34,10,DePaul Catholic,Wayne,NJ,Ohio State
Chris Lawson,WR,6-1,175,381,54,32,Archbishop Riordan,San Francisco,CA,Washington
McKay Madsen,ATH,6-1,230,382,19,33,Clovis North,Clovis,CA,BYU
Lex Cyrus,WR,5-11,175,383,55,12,Susquehanna Township,Harrisburg,PA,South Carolina
Bradley Martino,ATH,6-3,165,384,20,53,First Baptist Academy,Naples,FL,Minnesota
Kade Pietrzak,DL,6-4,250,385,40,1,Sheyenne,West Fargo,ND,Nebraska
Blake Hebert,QB,6-3,215,386,26,2,Brunswick School,Greenwich,CT,Notre Dame
Marcus Wimberly,S,6-1,200,387,35,3,Bauxite,Bauxite,AR,Oklahoma
CJ Jimcoily,LB,6-3,205,388,41,10,Lipscomb Academy,Nashville,TN,LSU
Jamarion Parker,RB,6-0,185,389,26,5,Cardinal Ritter College Prep,St. Louis,MO,Nebraska
Darryll Desir,EDGE,6-4.5,240,390,35,54,Miami Norland,Miami,FL,Florida State
