School,School_City,School_State,Conference,Division,School_Latitude,School_Longitude
Campbell,Buies Creek,NC,CAA Football,FCS,35.4082,-78.7414
Central Arkansas,Conway,AR,UAC,FCS,35.0753,-92.4692
Central Connecticut,New Britain,CT,NEC,FCS,41.6759,-72.7862
Charleston Southern,North Charleston,SC,OVC–Big South,FCS,32.9067,-80.0722
Chattanooga,Chattanooga,TN,SoCon,FCS,35.066,-85.2481
The Citadel,Charleston,SC,SoCon,FCS,32.8168,-79.9687
Colgate,Hamilton,NY,Patriot,FCS,43.6307863,-74.4659275
Columbia,New York,NY,Ivy,FCS,40.6943,-73.9249
Cornell,Ithaca,NY,Ivy,FCS,42.4442,-76.5032
Dartmouth,Hanover,NH,Ivy,FCS,43.7023545,-72.2892164
Davidson,Davidson,NC,PFL,FCS,35.484,-80.8247
Dayton,Dayton,OH,PFL,FCS,39.7805,-84.2003
Delaware State,Dover,DE,MEAC,FCS,39.161,-75.5202
Drake,Des Moines,IA,PFL,FCS,41.5725,-93.6105
Duquesne,Pittsburgh,PA,NEC,FCS,40.4397,-79.9763
East Tennessee State,Johnson City,TN,SoCon,FCS,36.3406,-82.3806
East Texas A&M,Commerce,TX,Southland,FCS,33.2421,-95.8992
Eastern Illinois,Charleston,IL,OVC–Big South,FCS,39.4842,-88.1781
Eastern Kentucky,Richmond,KY,UAC,FCS,37.7307,-84.2925
